label,bankname,CERT
2,FIRST STATE BANK OF ST PETER,11302
2,FNBC BANK&TRUST,11306
2,FARMERS STATE BANK,11307
2,BANK OF HERRIN,11310
1,IUKA STATE BANK,11317
2,LONGVIEW COMMUNITY BANK,11319
2,FARMERS&MERCHANTS STB BUSHNE,11324
1,FARMERS-MERCHANTS BANK OF IL,11329
2,ASHTON STATE BANK,11343
1,GRINNELL STATE BANK,11347
2,PEOPLES TRUST&SAVINGS BANK,11351
2,SANBORN SAVINGS BANK,11352
2,BEDFORD LOAN&DEPOSIT BANK,11355
1,CUMBERLAND SECURITY BANK INC,11358
1,STATE BANK,11406
2,HIGHPOINT COMMUNITY BANK,11407
2,VALLEY PREMIER BANK,11409
2,RUSHFORD STATE BANK INC,11411
2,HARVEST BANK,11415
2,WELCOME STATE BANK,11417
2,COLORADO B&T CO OF LA JUNTA,1141
2,BANK OF YAZOO CITY,11431
1,JEFFERSON BANK,11445
2,UNITY BANK OF MISSISSIPPI,11446
1,CENTURY BANK,11448
1,MID AMERICA BANK,11459
2,INDEPENDENT FARMERS BANK,11462
2,CITIZENS-FARMERS BK COLE CAM,11463
2,TRI-COUNTY TRUST CO,11465
1,HOMEPRIDE BANK,11466
1,THAYER COUNTY BANK,11475
2,AUBURN STATE BANK,11477
2,PEOPLES BANK,1147
2,HOMESTEAD BANK,11482
2,CITIZENS BANK OF CLOVIS,11491
1,INBANK,11492
1,FIRST NB OF SCOTIA,11501
2,FIDELITY BANK,11507
2,FIDELITY STATE BANK&TRUST CO,1150
2,SECURITY FIRST BANK OF ND,11519
1,CHICKASAW COMMUNITY BANK,11521
1,LIBERTY NATIONAL BANK,11522
2,BANK OF KREMLIN,11526
2,FIRST STB OF POND CREEK OK,11527
2,ENTERPRISE BANK OF SC,11539
2,FIRST STATE BANK OF BURNET,11557
2,FIRST STATE BANK&TRUST CO,11559
2,ALLIANCE BANK,11569
1,GLOBAL ONE BANK,11570
2,BURKE&HERBERT BANK&TRUST CO,11578
2,BANK OF SOUTHSIDE VIRGINIA,11580
2,LEE BANK&TRUST CO,11582
2,COMMUNITY FIRST BANK,11595
2,LAONA STATE BANK,11601
1,BLC COMMUNITY BANK,11608
1,GREENWOODS STATE BANK,11623
1,WAHOO STATE BANK,1163
2,CITIZENS BANK,1164
2,FIRST BANK OF OKARCHE,1165
2,D L EVANS BANK,11666
2,VERMILION VALLEY BANK,11667
1,FIRST STATE BANK OF FORREST,11669
2,CENTRAL BANK ILLINOIS,11670
2,STATE BANK OF HERSCHER,11671
1,WARREN-BOYNTON STATE BANK,11674
2,UINTA BANK,1167
2,FARMERS STB OF WESTERN IL,11680
2,ANCHOR STATE BANK,11681
2,ANNA STATE BANK,11682
2,STATE BANK OF CHERRY,11686
1,GOODFIELD STATE BANK,11699
2,SUNDANCE STATE BANK,1169
2,SHELBY COUNTY STATE BANK,11702
2,1ST COMMUNITY BANK,11706
2,TEUTOPOLIS STATE BANK,11708
2,BANK OF RANTOUL,11711
2,BANK OF YATES CITY,11715
2,HARTSBURG STATE BANK,11716
2,LIBERTY BANK,11719
2,PEOPLES STB OF NEWTON IL,11722
1,CIBM BANK,11729
2,FAIRVIEW STATE BANKING CO,11731
1,BANK OF FARMINGTON,11732
2,FLANAGAN STATE BANK,11734
2,BANKORION,11739
2,SOLUTIONS BANK,11741
2,IROQUOIS FARMERS STATE BANK,11746
2,FARMERS STATE BANK&TRUST CO,11747
2,BANK OF KAMPSVILLE,11750
2,CITIZENS STATE BANK,11759
2,CITIZENS SAVINGS BANK,11761
1,VISIONBANK OF IOWA,11763
2,SIBLEY STATE BANK,11764
2,FREEDOMBANK,11767
2,AVAILA BANK,11771
2,COMMERCIAL BANK,11777
2,CITIZENS ST B&T ELLSWORTH KS,11778
2,BANK OF ABBEVILLE&TRUST CO,11782
1,CALDWELL BANK&TRUST CO,11785
1,BANK OF SUNSET&TRUST CO,11788
2,FRANKLIN STATE BANK&TRUST CO,11792
1,UNITED BANK OF MICHIGAN,11807
2,HURON COMMUNITY BANK,11810
1,CADENCE BANK,11813
2,RICHTON BANK&TRUST CO,11817
1,LITTLE HORN STATE BANK,11821
2,MANHATTAN BANK,11823
2,BANK&TRUST SSB,1184
2,KILLBUCK SAVINGS BANK CO,11860
2,BANK OF BEAVER CITY,11862
1,FIDELITY DEPOSIT&DISCOUNT BK,11868
2,DONLEY COUNTY STATE BANK,11891
2,HILL BANK&TRUST CO,11902
1,TEXAS HERITAGE BANK,11903
2,FIRST STB OF BEN WHEELER TX,11904
2,CITIZENS STATE BANK,11905
2,SECURITY STATE BANK,11907
2,BUCKHOLTS STATE BANK,11916
1,FIRST STATE BANK OF TEXAS,11922
2,FIRST SECURITY STATE BANK,11932
1,DOMINION BANK,11934
2,FIRST TEXAS BANK,11935
1,POCA VALLEY BANK INC,11952
1,GRANT COUNTY BANK,11953
1,BAR HARBOR BANK&TRUST,11971
2,ARROWHEAD BANK,1198
1,PROVIDENT BANK,12010
2,UNION COUNTY SAVINGS BANK,12013
1,EMIGRANT BANK,12054
2,CITIZENS COMMUNITY BANK,12079
2,SAINTE MARIE STATE BANK,12086
1,SPRING VALLEY CITY BANK,12087
1,GUARANTY BANK&TRUST N A,1208
2,FIRST STATE BANK OF DONGOLA,12098
1,COMMERCIAL BANK OF TEXAS NA,1209
2,FARMERS STATE BANK,12107
1,VISTA BANK,1210
2,GERMANTOWN T&SB,12113
2,BUCKLEY STATE BANK,12121
2,COUNTY BANK,12126
2,CITIZENS SAVINGS BANK,12128
2,LYNDON STATE BANK,12135
2,WILSON STATE BANK,12136
2,FORD COUNTY STATE BANK,12139
1,CORNERSTONE CAPITAL BANK SSB,1213
1,FIRST STATE BANK,12149
2,ELKTON BANK&TRUST CO,12162
1,FARMERS BANK OF MILTON,12163
1,WEST POINT BANK,12166
1,FIRST STATE BANK,1218
1,WELLINGTON STATE BANK,1219
2,CLEVELAND STATE BANK,12201
1,MERCHANTS&MARINE BANK,12203
2,CITIZENS BK PHILADELPHIA MS,12204
2,BANK OF WINONA,12207
1,BELGRADE STATE BANK,12208
2,UNITED STATE BANK,12214
1,FIRST STB OF ST CHARLES MO,12219
2,COUNTY BANK,12220
1,CALLAWAY BANK,12223
2,FMB BANK,12225
2,PEOPLES BANK OF ALTENBURG,12226
2,FIRST BANK,12229
2,PEOPLES BANK,12230
1,MERCANTILE BANK OF LA MO,12231
2,BANK OF MONTICELLO,12232
2,WASHINGTON COUNTY BANK,12241
1,FIRST STATE BANK,12244
2,COMMERCIAL BANK,12246
2,FIRST NEBRASKA BANK,12248
2,SOUTHWEST CAPITAL BANK,12258
2,LEA COUNTY STATE BANK,12259
2,FARMERS&MERCHANTS BK LONG BE,1225
1,MECHANICS&FARMERS BANK,12266
2,FIRST STATE BANK,12283
2,FARMERS&MERCHANTS BANK,12284
1,CATTLEMENS BANK,12285
2,FARMERS STATE BANK,12293
1,COWBOY BANK OF TEXAS,12298
1,SOUTHSTAR BANK SSB,12299
1,CITIZENS STATE BANK,12303
2,COLUMBUS STATE BANK,12305
1,CITIZENS BANK NATIONAL ASSN,12309
2,FIRST STATE BANK,12315
1,CHIPPEWA VALLEY BANK,12322
2,BANK OF CASHTON,12325
2,BANK OF MAUSTON,12327
1,STATE BANK OF CHILTON,12331
1,COMMUNITY BANK OF CAMERON,12349
2,HUSTISFORD STATE BANK,12354
2,FIRST NB OF ALLENDALE,12365
1,REGIONS BANK,12368
2,FOWLER STATE BANK,12372
2,IRELAND BANK,1237
1,CARROLLTON BANK,12383
2,JERSEY STATE BANK,12384
2,STATE BANK OF TOULON,12386
2,WILLIAMSVILLE STATE B&T,12388
2,LENA STATE BANK,12395
2,EXCHANGE STATE BANK,12402
2,LA SALLE STATE BANK,12410
2,TRI-VALLEY BANK,12417
2,SECURITY STATE BANK,12422
1,DICKINSON COUNTY BANK,12425
1,COMMUNITY FIRST BANK,12426
2,BAXTER STATE BANK,12432
1,RENASANT BANK,12437
1,HANCOCK WHITNEY BANK,12441
2,STATE BANK OF COLD SPRING,12444
2,CITIZENS BANK OF EDINA,12457
1,FIRST OKLAHOMA BANK,12484
2,PAYNE COUNTY BANK,12485
1,PREMIER BANK,12493
2,CITIZENS STATE BANK,12501
2,INDUSTRY STATE BANK,12506
2,ALLIANCE BANK,12511
2,COMMUNITY FIRST BANK,12512
2,PARTNERS BANK OF WISCONSIN,12513
1,IXONIA BANK,12514
1,BANK FIVE NINE,12517
1,PEOPLES BANK,12531
2,BANK OF CALHOUN COUNTY,12549
2,HOPETON STATE BANK,12585
2,CONVERSE COUNTY BANK,12591
2,SECURITY STATE BANK,12592
1,PUEBLO BANK&TRUST CO,12594
2,FARMERS&DROVERS BANK,12602
2,CITY BANK&TRUST CO,12608
2,PATTERSON STATE BANK,12609
1,EVANGELINE BANK&TRUST CO,12611
1,ORIGIN BANK,12614
2,LEGENDS BANK,12616
1,BANK OF WASHINGTON,12627
2,CENTRAL TRUST BANK,12633
2,CASHMERE VALLEY BANK,1265
1,GREENLEAF BANK,12661
2,CITIZENS COMMUNITY BANK,12694
1,STATE BANK,12706
2,BRIDGE COMMUNITY BANK,12717
1,SICILY ISLAND STATE BANK,12722
2,BANK OF PRAGUE,12745
1,FIRST STATE BANK,12757
2,FARMERS STB ALLEN OKLAHOMA,12758
2,F&M BANK,12761
1,FIRST UNITED BANK,12769
2,BARABOO STATE BANK,12788
2,PEOPLES STATE BANK,12814
1,HOME STB NA,12815
1,WASHINGTON TRUST BANK,1281
1,FARMERS BANK FRANKFORT IN,12828
2,FIRST STATE BANK OF PORTER,12836
1,FIRST FARMERS BANK&TRUST CO,12839
1,CENTIER BANK,12854
1,FARMERS STATE BANK,12855
1,DENVER SAVINGS BANK,12857
1,FARMERS TRUST&SAVINGS BANK,12858
2,SWEDISH-AMERICAN STATE BANK,12865
1,FARMERS BANK&TRUST CO,12869
1,KATAHDIN TRUST CO,12874
2,PEOPLES BANK,12885
2,FIRST STATE BANK OF DECATUR,12893
2,MAYVILLE STATE BANK,12899
1,FARMERS BANK&TRUST CO,1291
1,BREMER BANK NATIONAL ASSN,12923
1,ORANGE BANK&TRUST CO,12944
1,FNBC BANK,1294
2,BANK OF RICHMONDVILLE,12956
1,CATTARAUGUS COUNTY BANK,12959
1,UNION BANK CO,12969
2,FARMERS BANK,1296
1,RICHWOOD BANKING CO,12978
2,CORN CITY STATE BANK,12980
1,CIVISTA BANK,12982
1,ELDERTON STATE BANK,12985
1,EVOLVE BANK&TRUST,1299
1,ENNIS STATE BANK,13000
2,PECOS COUNTY STATE BANK,13006
1,FIRST COMMUNITY BANK,13012
2,MINERS&MERCHANTS BANK,13018
1,FIRST EXCHANGE BANK,13020
2,FARMERS SAVINGS BANK,13025
1,OAKWOOD BANK,13030
1,CITIZENS FIRST BANK,13032
2,FARMERS STB OF WAUPACA,13033
2,PARK BANK,13054
1,CITIZENS BANK,13055
1,HIAWATHA NATIONAL BANK,13058
1,KENNEBUNK SAVINGS BANK,13063
2,COMMUNITY BANK&TRUST,13068
2,TOWN&COUNTRY BANK,13071
2,ALGONQUIN STATE BANK,13080
1,FIRST WESTERN BANK,13083
1,LAKE CITY BANK,13102
2,CITIZENS STB NEW CASTLE,13107
1,JACKSON COUNTY BANK,13109
2,HENDRICKS COUNTY B&T CO,13111
1,OWEN COUNTY STATE BANK,13112
1,PEOPLES TRUST&SAVINGS BANK,13113
2,FRIENDSHIP STATE BANK,13130
1,KANZA BANK,13157
2,BANK OF CLARKSON,13167
1,FIRST COMMUNITY BANK,13179
2,UNION STATE BANK OF HAZEN,13195
2,PEOPLES STATE BANK,13196
1,CORNERSTONE BANK,13198
1,SEACOAST NATIONAL BANK,131
1,FORT JENNINGS STATE BANK,13209
1,SAVINGS BANK,13216
2,PEOPLES BANK CO,13220
2,SECURITY STATE BANK,13232
1,FARMERS&MERCHANTS STATE BANK,13242
2,STATE SB OF MANISTIQUE,13249
2,CHAMBERS STATE BANK,13251
2,MIDWEST BANK,13255
1,BANK OF LUXEMBURG,13264
2,BANK OF COMMERCE,13274
2,SOLVAY BANK,13297
1,BANK OF ENGLAND,13303
1,NEW WASHINGTON STATE BANK,13305
1,FARMERS&MERCHANTS BK CNTL CA,1331
1,STATE BANK&TRUST CO,13339
1,CROGHAN COLONIAL BANK,13341
1,EXCHANGE BANK&TRUST CO,13366
2,NORTHEAST MISSOURI STB,13381
2,FARMERS&MERCHANTS STB SPRING,13382
2,BANK OF UTICA,13397
2,FARMERS STATE BANK,13407
2,NORTHWESTERN BANK,13411
2,KAW VALLEY STATE BANK,13413
2,FARMERS&MERCHANTS BANK,13415
2,OKLAHOMA STATE BANK,13416
1,UNION BANK&TRUST CO,13421
2,WADENA STATE BANK,13430
2,INTEGRITY BANK,13450
2,ROYAL BANK,13454
1,STATE EXCHANGE BANK,13551
2,FLEETWOOD BANK,13561
1,BANK OF SUN PRAIRIE,13565
2,STATE BANK OF NAUVOO,13582
2,TAMPA STATE BANK,13584
1,FIRST-LOCKHART NATIONAL BANK,13599
2,POINTWEST BANK,13600
2,BANK OF MEAD,13611
2,CORYDON STATE BANK,13616
1,DAYSPRING BANK,13622
1,FIRST STATE BANK,13632
2,PINE COUNTRY BANK,13652
2,UNITED COMMUNITY BANK,13656
2,PEOPLES BANK&TRUST CO,1365
2,FARMERS&MERCHANTS STB BLOOMF,13662
1,BRUNSWICK STATE BANK,13692
2,NEBRASKA STATE BANK,13696
2,GREENVILLE NATIONAL BANK,13703
2,LIBERTYVILLE SAVINGS BANK,13712
2,STATE BANK,13715
1,MIDDLEFIELD BANKING CO,13716
3,WELLS FARGO TRUST CO NA,13718
2,PRESCOTT STATE BANK,13729
2,SAVINGS BANK,13735
2,MAYNARD SAVINGS BANK,13736
2,FARMERS&MERCHANTS BANK&TRUST,13737
1,BOM BANK,1373
1,UPSTATE NATIONAL BANK,13748
2,BANK OF COMMERCE,1374
2,BLUE GRASS SAVINGS BANK,13753
1,CITIZENS BANK&TRUST CO,1376
2,BENTON COUNTY STATE BANK,13774
2,FARMERS STATE BANK,13775
2,NORTHERN INTERSTATE BANK N A,13784
1,CONCORDIA BK OF CONCORDIA MO,13788
2,MCINTOSH COUNTY BANK,13794
2,FIRST NB IN FREDONIA,13798
2,FARMERS&MERCHANTS BANK,13801
2,TWIN VALLEY BANK,13802
1,MINNSTAR BANK NATIONAL ASSN,13809
1,FELICIANA BANK&TRUST CO,1380
2,FIRST NB IN PINCKNEYVILLE,13813
2,BANK 1ST,13816
1,COMMERCIAL STATE BANK,13819
1,CROSS BANK,13821
2,TRUST BANK,13832
1,FIELD&MAIN BANK,13838
2,KENTLAND BANK,13843
1,FIRST STATE BANK NEBRASKA,13868
2,RED ROCK BANK,1386
1,CNB BANK,13876
1,PEOPLESBANK CODORUS VALLEY,13879
2,FARMERS STATE BANK,13883
2,FARMERS&MERCHANTS BANK,13887
2,SANDHILLS STATE BANK,13892
1,FARMERS STATE BANK,13897
2,FARMERS STATE BANK OF MEDORA,13902
1,FIRST TEXOMA NATIONAL BANK,13905
1,SOUTHTRUST BANK N A,13919
2,ARLINGTON STATE BANK,1391
2,STATE BK OF CANTON CANTON KS,13926
2,STATE BANK OF SCHALLER,13931
2,FIRST BANK&TRUST CO,13946
2,ALAMOSA STATE BANK,13947
2,COMMUNITY BANK OF LOUISIANA,13951
2,IOWA STATE BANK,13953
1,MCKENZIE BANKING CO,13955
2,KANSASLAND BANK,13957
2,CBW BANK,13959
1,BANK OF HOUSTON,13960
2,BANK OF HARTINGTON,13962
2,GRANVILLE NATIONAL BANK,13983
2,TRANSACT BANK NATIONAL ASSN,13986
2,PALO SAVINGS BANK,13990
2,FARMERS&MERCHANTS STATE BANK,13999
1,FRANDSEN BANK&TRUST,1399
2,CHELSEA STATE BANK,14009
1,MIDDLETOWN VALLEY BANK,14017
2,STATE BANK OF DANVERS,1401
2,FARMERS&MERCHANTS BK MOUND C,14024
1,CONNECTIONS BANK MIDWEST,14025
2,SCRIBNER BANK,14026
1,FIRST GUARANTY BANK,14028
1,FIRST LIBERTY BANK,14029
2,CITIZENS ALLIANCE BANK,1402
2,MISSOURI BANK,14036
1,FARMERS&MERCHANTS BK ST CLAI,14056
1,GREAT PLAINS STATE BANK,14058
1,PINNACLE BANK,14065
2,STATE BANK OF SCOTIA,14069
1,COUNTY NATIONAL BANK,14073
2,BLACKHAWK BANK,14078
2,GNB BANK,14079
1,BISON STATE BANK,14083
2,FIRST NB IN FALFURRIAS,14095
2,GENERATIONS BANK,14096
1,KENSINGTON BANK,1409
2,PEOPLES STATE BANK,14113
1,PASSUMPSIC SAVINGS BANK,14134
2,WELLS RIVER SAVINGS BANK,14136
2,PERENNIAL BANK,1413
1,NORTHFIELD SAVINGS BANK,14140
1,UNION BANK,14158
2,NORTHWOODS BANK OF MINNESOTA,1415
2,PEOPLES TR CO OF ST ALBANS,14168
2,SILEX BANKING CO,14178
2,WOODLANDS NATIONAL BANK,1417
2,MARION COMMUNITY BANK,14184
2,FIRST STATE B&T CO INC,14185
1,BANK OF WESTON,1418
2,FARMERS TRUST&SAVINGS BANK,14195
1,LINCOLN SAVINGS BANK,14207
2,SECURITY SAVINGS BANK,14208
1,FARMERS STATE BANK,14209
1,SECURITY FINANCIAL BANK,14222
2,HOME NB OF THORNTOWN,14225
1,MALVERN BANK,14230
1,NORTHWAY BANK,14240
2,UNITED BANK&TRUST CO,14247
2,WALTERS BANK&TRUST CO,14260
1,CORNHUSKER BANK,14264
1,NATIONAL BANK OF COMMERCE,14266
2,CITIZENS STATE BANK,14269
1,FOCUS BANK,1426
1,FARMERS&MERCHANTS BANK,14275
1,FIRST BANK UPPER MICHIGAN,14276
2,UNITED SECURITY BANK,1427
2,FIRST BANK OF UTICA,14281
1,BANK,14291
2,CITIZENS BANK&TRUST,14293
2,ADAMS COUNTY BANK,14311
2,FIVE POINTS BANK OF HASTINGS,14312
2,BENTON STATE BANK,14316
1,HORIZON BANK,14327
1,FIRSTBANK,14331
2,COMMERCIAL BANK&TRUST OF PA,14333
1,UNITED BANK OF UNION,14334
2,FARMERS STATE BANK,14344
1,VALLEY STATE BANK,14345
2,BANK OF SALEM,14349
2,TOWN&COUNTRY BANK,1434
2,FEDERATION BANK,14352
